Id,noteID,time,title,from_user,to_user,text,Q: Questioning,T: Theorizing/explaining,E: Evidence,R: Referencing  sources 
18,1740,9/27/12,ый VOLTS ый,u88,,Why do batteries have a voltage what does it mean other than more power?,1,,,
17,1684,9/27/12,traveling,u79,"u93,u85",{[My theory]: is that battries are metal which is the same materyal so it conects faster and travels faster },,1,,
9,1225,9/27/12,flowing energy,"u87,u94",,{[I need to understand]: how does energy flow through wires and to different places connected to everything else in the circut. we think that the pausitive and the negitive energy comes from the battery ( we dont know how) to the wires and then it goes through them to the thing you are trying to put electricity into. } ,1,1,,
19,1822,9/27/12,higher voltage batterys,u85,u88,{[My theory]:}is that not only do the higher voltage batterys have more energy but they also last longer and shine brighter.  ,,1,,
24,1998,9/27/12,chemical reaction,u89,u88,{[My theory]: is that there is a lot of chemical reactions that make energy both positive and negative } ,,1,,
21,1882,9/27/12,friction/static electricity ,u97,"u81,u97",{[My theory]: is that maybe if you rub something together it could make friction and maybe that would work. Like when you rub a balloon on your head it makes your hair stand up. } ,,1,,
29,2111,9/27/12,big batrie,u78,,{[My theory]: is that the biger the baterie the more powerfull it is becuase you can put more in the baterie } ,,1,,
27,2088,9/27/12,liquid or solid,u85,,"{[I need to understand]: how they put the energy inside the batterys and if it's a liquid, gas or a solid my theory about this is that they get the energy in tubes and hook it up to a machine to fil the batterys with energy } ",1,1,,
23,1980,9/27/12,twisty thing two,u79,u85,i agree because when somthing moves like the twisty thing it creates energey which touches the wires and it will hit the lights ,,1,,
25,2001,9/27/12,Powering Things With and Without Batteries,"u95,u82",u78,i agree with you Jamie because how would you power anything with out a battery?,1,,,
26,2017,9/27/12,voltage,u89,u88,{[My theory]: is that the more voltage there is the more power there is } ,,1,,
22,1954,9/27/12,lemon juice is a energy source,"u84,u96","u81,u97",{[My theory]: there is another energy source and guess what? its lemon juice the grade fives tested that in grade 2 you have to stick a nail on one side and a penny on the other side then you have an energy source to power a light bulb  } ,,1,1,
16,1642,9/27/12,adding one to energey,u76,u78,"i agree, there is a wire in the bulb of the light, i think there is a sort of dam at the centre so it stops the positive\negative if it gets there before the other, then, when they meet, it explodes :)",,1,,
30,2183,9/27/12,leaking battery ,u97,u85,{[My theory]: is that it could be liquid because when a battery leaks it oozes liquid.  } ,,1,,
28,2096,9/27/12,lemon batterys ,u85,"u84,u96","{[I need to understand]: how the lemon batterys work like don't you remember when we made those lemon batterys in grade 2 it was strange and they looked weird } ",1,,1,
64,4513,10/3/12,Leyden Jar,"u79,u97,u86",,"Speed matters. The slower you rub the tube with the fur, the shock will be much bigger. Why does this happen?I think that if it is rubbed slowly there are more crackles and crackles = static electricity.I used the leyden jar to power a light bulb but it work. My theory is that it didn't work because rubbing a tube and some fur isn't as strong as a battery. I thought it would work because rubbing the tube and the fur would create static electricity and the sucks the power in to move the wire. And when you touch it, it's like an escape to the light which lights it up. But I don't understand why it didn't work a little.I think that the leyden jar holds electricity so when you rub the tube with fur close to the nail, the nail picks up electricity and when you touch it you get a shock.The slower you rub it the bigger the shock. I think that happens because more electricity rushes to the top and into the nail. I think the electricity goes through the nail, through the wire, through the tape and back up when you touch it.Question: I wonder why you have to touch both the tin foil tape and the nail?Question: Why do you have to touch the tape first?",1,1,1,
65,4518,10/3/12,Static electricity,"u86,u80",,"Is static similar to electricity? What makes it similar or different?What creates static electricity?",1,,,
66,4522,10/3/12,Lightbulb and foil tape,"u82,u86,u95,u79,u97",,"- If you put a battery on the foil tape with a light bulb the bulb will light up but only if the connection is strong.  So the tape may be acting as wires, that's why there need to be 2 pieces of tape to transmit the negative and positive energy. I tried putting the light bulb and battery on the same piece of foil and it did not work. - If you're going to have more than one battery, the positive and negative sides have to be matching. I think the reason why the electrical tape works is because it has something in it which helps the electrical tape carry the electricity over like wires do.- I think that when the battery touches the tape the electricity flows to the light bulb. When you add more light bulb the other light bulbs take the electricity and that is why it gets dimmer. i think it's because the tape doesn't let a lot of electricity flow so it makes it easy to get dim. I think that it doesn't work when there is something in the middle because it stops it from flowing. It just goes in a circle so it won't reach the light bulb.Question: I wonder if it would work if you only use one piece of tape and put everything on its side.",1,1,1,
67,4526,10/3/12,Magnetism,"u84,u81,u87",,"Why isn't the iron attracted to the other side of the magnet? I think the magnet just doesn't conduct electricity. I think the iron doesn't clump because there's no pressure on it. The fork works as a magnet, this happens because of the electricity running through the metal fork that attracts metal objects. When we tried with 6 volts it didn't work that well, so we did it with 12 volts and it worked perfectly.Why does a magnet need a positive and negative side? Are magnets the only thing that attracts iron?",1,1,1,
88,5021,10/4/12,negative and positive energy,u85,u97, {[My theory]: is that the thing you discribed as friction is static i think it makes your hair stand up because your hair has positive electricity and when you rub the baloon to your hair the balloon gets negative energy and then your hair gets attracted to the balloon  },,1,1,
84,4977,10/4/12,electrical fluids,u93,u97,"ya, I think there's a very thin needle that ingects the battery casing with an electrical fluid. And once when my brother was switching a battery pack in his camera, and there was blueish greenish moldy liquid coming out of it. ",,1,1,
87,5013,10/4/12,Electricity,u91,,{[My theory]:   I'm not sure if someone already contributed this but I think that some electricity comes from the pressure of the niagra falls because they turn it into electricity or something. },,1,,
92,5139,10/4/12,magnetism and electricity,u93,,"{[I need to understand]: what does magnetism have to do with electricity? I mean, i sorta understand, but not really. } ",1,,,
85,4990,10/4/12,Maybe...,u82,,"ok so i think there very colourful like different colours maybe the rainbow. but i think it would be hard to tell what colour it is cause its so small. but idk.:P",,1,,
97,5423,10/4/12,mini mini battery,"u97,u79",u85,{[My theory]: is that maybe ther is a mini mini battery inside the mini battery. } ,,1,,
95,5412,10/4/12,Positive & Negative,u95,"u96,u84","if you take aa positive and a positive it wont work because you need like a bit of both. so if you have a positive and a negative it evens out.Rayne",,1,,
82,4932,10/4/12,colours!!!!!!!!!,u87,,"{[I need to understand]: what colour(s) nutrons, electrons and protrons are? } ",1,,,
98,5472,10/4/12,big batterie,u90,u78,i recpectfully disagree because the huge battery only had 6 volts but the small one has 9,,1,,
94,5400,10/4/12,adoms are colourful,u76,,Adoms are randomly coloured,,1,,
96,5418,10/4/12,Colors,u95,u82,"I think that they can probably be any kind of coulor because it's not just a certain kind of coulor they can always change. It wont always be the same.Rayne",,1,,
99,5482,10/4/12,Green liquid essence,u88,u89,"Maybe there are things smaller than atoms that we haven't discovered yet, that are made of some sort of liquid base, and that are the essence of electricity. I think that there is more to this than just neutrons, protons, and electrons that create power.",,1,,
100,5487,10/4/12,light,u78,,{[I need to understand]:} why when the negitive and positive energy come together it creates light,1,,,
102,5660,10/4/12,atoms,u98,,{[I need to understand]: when a atom has no electrons what hat hapens  } ,1,,,
106,5851,10/4/12,lightning,u88,u76,I think that atoms are very bright but have no  colour like lightning.,,1,,
109,5875,10/4/12,i need to understand...,u93,u95,"{[I need to understand]: what are you guys talking about? adoms? if so, idk what colour they are } ",1,,,
105,5810,10/4/12,small batterys,"u85,u77",u78,our theory is that the battery doesn't have to be big to have more power for example the 6 volt batterys are way bigger than the 9 volt batterys are smaller and they hold more voltage which means more power  ,,1,1,
114,5960,10/4/12,to small,u78,u95,I dont think it would have a coulor because it would be to small to see,,1,,
103,5681,10/4/12,Just an Idea,u95,u76,"maybe they have certain colors for different things like if you were to powere a boombox it would be blue and yellow or if you were to power a computer it would be black and white. or it would be colored on how much energy you need. Just an idea.Rayne",,1,,
116,6000,10/4/12,sun energy,u90,u77,i think that the sun creates so that it makes energy.,,1,,
112,5911,10/4/12,slower and faster,"u97,u79",, {[I need to understand]:  why when you rub the tube with the fur slower it makes a bigger shock from the leyden jar then when you rub it faster.  }  ,1,,,
101,5601,10/4/12,reaction,u77,u85,I agree with you about your theory. I think that when your hair gets attracted to the balloon it doesn't want to give away but the energy can only stretch so far. So when you pull it away all the hair still has the reaction in it. Because when you take it away it still sticks out.,,1,1,
117,6037,10/4/12,mini battery,u85,"u97,u79",that is the exact same thing that I said ,,,,
119,6124,10/4/12,Small things,u95,u78,"maybe but it would be really small but you have no proofrayne",,,,
93,5258,10/4/12,adoms without electrons,u80,,"i wonder if an adom can not have eletrons, nutrons or protons",1,,,
113,5950,10/4/12,i think soo,u82,u95,I agree. even though positive and positive are like family they ont want to spend time togetha and they just want to hang out with the cool people/negative. ,,1,,
107,5855,10/4/12,the ZAP of lighning,u88,,"I wonder how lightning is generated, and what its chemical combination is.",1,,,
90,5042,10/4/12,Why a leyden jar hurts???,u94,,{[My theory]:}{[I need to understand]: why when you rub beside the leyden jar it makes electric noises. Also why does the jar shock you when you touch it? }is that the negitive and possitive are trying to get out because there too close together.    ,1,1,,
110,5883,10/4/12,mini batterries,u93,"u97,u79","{[My theory]: is that the mini batteries and the mini mini batteries indide a mini battery which is really inside a normal-sized battery kind of remind me of those russian nesting dolls, but I don't think the mini battery theory is true } ",,1,,
111,5886,10/4/12,electrons & fingers,u83,,"When the electricity is in the leyden jar and it comes out throught the wire into your finger, how do the electrons travel through the wire and into your finger?",1,,,
104,5774,10/4/12,body = wire,u87,,"{[My theory]: is: i think that your body acts as a wire. like in the tazer thing, your body is carrying the electrons. BTW please stop moving the notes. ( simone and rayne)  } ",,1,,
118,6093,10/4/12,not really,u93,u85,"No, they said that inside the mini battery, which is what you said, is a mini, mini battery. But ya, sort of",,,,
122,6337,10/4/12,interesting... :P,u93,u91,"i don't uderstand what your talking about, but interesting... :P",,,,
120,6299,10/4/12,Ok,u95,u82,I guess thats  a way to put it but ok,,,,
108,5858,10/4/12,lyden jar,u86,," I think that when all the electrons are in the jar, they all want to get out because they are all negitive energy. So when you fingers touch the tinfoil tape and the nail it creates a way for most of the electrons to escape.  ",,1,,
123,6353,10/4/12,"I agree, but why?",u83,u82,I agree that the positive are like a group of people that are all exactly the same and dont want to be around these poeple every single day. THey want to go and be with the other different people/negatives. {[I need to understand]: WHY don't the positives go together? } ,1,1,,
121,6322,10/4/12,why?,u77,,{[I need to understand]: why electrons are negative and protons are positive? is that just how they are? or is there a reason for it?  } ,1,,,
175,8360,10/11/12,lydan jar,u98,,{[My theory]: is that when you touch the lydan with the wire its not a spark comming from the lydan jar its the electrons going from  the lydan jar to the wire. Its like a mini bolt of lightning going to the wire  } ,,1,,
186,8609,10/11/12,force,u78,,"{[I need to understand]: what's sronger the force of the negative to negative getting pushed away from each other, or the force of negative and positive getting stuck together? } ",1,,,
191,8813,10/11/12,lemon battery not working,u85,,{[My theory]:}is that if you use a lemon too many times then it won't work because all of the electrons will come out and float away into the closest object. And the lemon won't let anymore electricity in because it has really annoying other stuff in it that won't let more electrons in. i think things have a certain amount of electrons and if they get out then they're out for good,,1,,
197,8974,10/11/12,tiny peices of paper and a giant rod,u79,,{[My theory]: is that if you rub fur and a rod together the fur gives it negitive charges wich makes the rod more negitive i think one side of little peices of paper has a positive side and a negitive side so the paper is on a slant when it sticks to the rod  } ,,1,1,
195,8942,10/11/12,Magnets,u87,,{[My theory]: the longer you leave the magnet under the honey there will be more iron filings. because they slowly make their waythrough the honey because the honey is thick } ,,1,,
204,9204,10/11/12,adoms,u79,u80,"{[My theory]: is that it is in posibale for an adom to not have eletrons, nutrons or protons because adoms are nutron wich has both protons and eletrons } ",,1,,
205,9225,10/11/12,the same force ,u89,u78,i think that the force is exectly the same because when you throw a magnet at a magnet the magnet wil spin so that it is positive and negative but if tri and push negative and negative together they repel each other .,,1,,
202,9158,10/11/12,Goopy juice of acidic lemons,u88,,"	When I connected a battery to lemon juice with wires, the lemon juice slowly started to turn into goop on the positive wire. I think that lemon juice has a negative charge, so, it compressed onto the wire. I think that this also has something to do with the fact that lemon juice is an acid. ",,1,1,
196,8946,10/11/12,magnets!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,u87,,{[I need to understand]: how magnets work. i know that medal is attracted to it but i have no idea why this happens.  } ,1,,,
203,9176,10/11/12,home made battires,u80,,{[My theory]: is that the home made battery didn't work because nick kept pushing on the top so the lemon jucies [i think that the lemon jucies are charged] kept running out  } ,,,1,
206,9236,10/11/12,bouncy magnet ,"u96,u84",,{[My theory]: erica and evelyn did this floaty thing with the magnet and we wanted to add on to it this is what we think thayt when the batterie is connected to the coil inside there is a magnet on each side the right side the left side and the bottom so if you drop the magnet right into the coil it will drop to the bottom but before it hits the ground it bounces up because of the magnet and electrons push the magnet up and to the side  } ,,1,1,
201,9084,10/11/12,lemon battery,u77,,"when i tried to make the lemon battery work (The one where you stacked the foil-coin-tissue) it didn't work. I think that happened because the lemon has a lot of electrons so that makes it have a negative charge. When you soak the paper towel in the lemon juice the lemon juice gets all over everything else so maybe the electrons are spreading too. Then once the electrons get all over everything else it becomes a negative charge. So the tube that has all the stuff in it doesn't have any positive charge and it needs both. Therefore it cannot work. If we tried to do it again, maybe instead of just slapping on the paper towel we could wring the paper towel out before we put it on and that way the electrons might not spread so easily.",,1,1,
395,18416,11/4/12,Static charge and energy,u86,,How does a static charge seem to create energy?,1,,,
396,18421,11/4/12,Visible sparks and electrons,"u78,u89",,"If concentrated electrons make visible sparks, why can't you see sparks everywhere?",1,,,
397,18435,11/4/12,Experiment - charges and attraction,"u98,u84,u84",,"Neutrally charged objects are very sensitive to positive and negative charge.Experiment idea: if you could somehow charge 2 things and put a neutral thing in the middle, would it get more attracted to one or another? Which is stronger, a negative charge or a positive charge?",1,1,1,
398,18453,11/4/12,Pos or neg charge more powerful?,u84,,"Is a positive charge more powerful than a negative charge, or vice-versa?",1,,,
399,18773,11/5/12,All threads relate to each other,u93,,"Once we learn more, we might see that all of the threads all relate to each other.",,,,
400,18788,11/5/12,Electrons and Atoms and Charge,u77,,Electrons are the essence of charge. Atoms are the root of everything having to do with electricity. All the threads are related back to atoms. if nothing related to atoms then everything would be nothing. atoms are the essence of life and everything is atoms.,,1,,
401,18800,11/5/12,How can we be soild?,u77,,"{[I need to understand]:  }  if there is so much empty space in atoms, how can we, or anything be so solid?",1,,,
402,18805,11/5/12,Static and Humidity,u92,,Why does static charge not work well at high levels of humidity? Why does the charge leak off?,1,,,
403,18821,11/5/12,Positive and negative charge,"u82,u95,u82,u95",,"Whenever you charge one thing positively, you are always charging the other object negatively. If you rub a glass rod with silk, the glass becomes positively charged and the silk becomes negative. It's because the electrons move from one to the other.",,1,,
404,18835,11/5/12,Direction of electron flow?,"u83,u83",,{[I need to understand]:  } why electrons flow from the negative side of the battery to the positive side. Why not the other way? ,1,,,
406,18882,11/5/12,Atom stability,"u80,u80",,What can cause an atom to become unstable? Do atoms even need electrons?,1,,,
405,18862,11/5/12,What is empty space?,"u86,u85,u85,u86",,What is empty space made of? What is empty space exactly?,1,,,
407,18910,11/5/12,Electromagnet and coil amount,"u97,u97",,"In an electromagnet, why does a coil of wire produce a stronger magnetic field than a single wire?",1,,,
408,18989,11/5/12,Chemical batteries,u91,,In the first batteries people used metal plates and acid. Does it need to be a specific type of acid or liquid?,1,,,
409,18998,11/5/12,Negative charge,"u81,u81",,Why are electrons always negatively charged?,1,,,
410,19038,11/5/12,carbon atoms?,u85,,"{[I need to understand]: what the difference between carbon atoms and just plain atoms are? and are there other kinds of atoms? are there different things inside them or are they just in different things? I think what makes atoms different is that they probably have different amounts of electrons, protons and nuetrons. } ",1,1,,
411,19091,11/5/12,Magnets+Light,u92,,{[My theory]: is that light does relate to magnets because it did not how would the shakey flashlight work? } ,1,,,
414,19180,11/5/12,How does energy do us any good?,"u90,u81",,How does electricity benifit humans besides playing video and using technology?,1,,,
412,19117,11/5/12,"electrons can't be positvie, that would be a proton","u93,u91","u81,u81","because that's what an electron is. If an electron was all positively charged, then it would be a proton.",,1,,
416,19207,11/5/12,just the way they are,"u93,u91,u91",u77,"no, that's just the way they are. ",,,,
413,19166,11/5/12,might not be right,u79,u76,i don't think so i think they're just see through or even white,,1,,
418,19290,11/5/12,why is a lemon a source of energy?,u92,,{[I need to understand]: why lemon juice is a source of energy } ,1,,,
415,19191,11/5/12,inside of a battery ,u97,,{[My theory]: is that maybe in a battery there is a lot of electrons in certain parts of it. So when you clip metal to the battery it lets the electrons out and then it just goes back around. I think that inside the ends of the battery are alot of electrons which makes some kind of charge } ,,1,,
419,19294,11/5/12,solar power?,u92,,{[I need to understand]: how the sun create energy},1,,,
417,19267,11/5/12,big and small,u79,u78,{[My theory]: is that a bigger battery just lasts longer and a small 9v is stronger then a big 6v but the big 6v just lasts longer because it holds more electrons } ,,1,,
422,19393,11/5/12,random names,u79,u77,i think it's just how they are they just randomly name protons electrons,,1,,
420,19359,11/5/12,why battery?,u92,,"why is some types of metal magnetic and some not?why can you make a magnet with a battery and a forkand a normal magnet does not need a battery? ",1,,,
421,19383,11/5/12,electrons ,u97,u79,{[My theory]: is that maybe the batteries just hold a different amount of electrons not more But i agree that the big 6v is just bigger than the 9v and it does hold a lot of electrons making it last longer but the bigger it is doesn't really matter that much. } ,,1,,
423,19405,11/5/12,lightning ,u79,,{[I need to understand]: how lightning is powered  } ,1,,,
424,19463,11/5/12,positively and negatively ,u97,u79,{[My theory]: is that they are actually positively and negatively charged. I don't think they just have random names. Because they are not the same because if they were magnets wouldn't stick together. } ,,1,,
425,19542,11/5/12,positive + negetive ,u79,u87,{[My theory]: is that positive and negetive are attracted to each other and one of the magnets is positive and one is negitive  } ,,1,,
427,19993,11/5/12,what???,u79,u97,what do you mean????,,,,
430,20307,11/5/12,inportant stuff,u79,u97,ya!!!!,,,,
428,20079,11/5/12,what i mean,u97,u79,what i mean is that in certain parts of a battery is a lot of electrons. and in the ends where you clip the clips to there are electrons so when you clip the mobbobers to the ends it lets all the electrons go around and back again.,,1,,
431,20503,11/5/12,i get it!!!,u79,u97,okay i get it i agree (in a different way),,,,
429,20301,11/5/12,more 8P,u97,u79,"what do yo mean descriebe how you disagree. and i am adding onto mine adding onto yours adding onto mine i think that the energy goes around through the wires really quickly and then when you unclip the clips electrons go back into the battery",,1,,
434,20722,11/5/12,agree,u79,u97,i agree but just in different words you know the boring adult way ,,,,
435,20726,11/5/12,some stuff,u79,u93,in one of the magnets there is positive enrgee and in the other one there is negitive energy wich is like a batterie and positive and negitive is electricity ,,1,,
432,20612,11/5/12,yeah 8D,u97,u79,haha i also want to add that when you use a 6v it works a bit differently than a 9v because of electrons. Because when some people did an the magnet fork thing it only worked with a 6v and when they tried with a 9v it didn't work,,1,,
436,20978,11/5/12,power,u79,u97,{[My theory]: is that there is more power you know because it BIG and a 9v is small but powerful so not as much electrons to go around } ,,1,,
433,20618,11/5/12,SIZE 8{P,u97,u79,i agree but i still think they are different and that the 9v is just fun size (small) (like me),,1,,
437,20985,11/5/12,agree,u79,u97,i agree (your not small your avarige),,,,
438,22186,11/8/12,different kinds of atoms,u85,u85,"{[My theory]: is that the difference between different atoms like atoms inside elements are that they have different amounts of protons and nuetronssurprisingly the electrons don't really matter for making different kinds of atoms but you still need them there } ",,1,,
439,22193,11/8/12,traveling around the circut,"u85,u97",u88,"we disagree because in batterys there are protons, nuetrons and electrons and the light bulbs already have the protons and nuetrons in them and only need electrons to light up so only the electrons move from the battery to the light bulb",,1,,
441,22275,11/8/12,combinations of atoms,u78,u85,I respectfully disagree i think that all atoms are the same but they come to gether in difrent combinations to make difrent things.   ,,1,,
440,22262,11/8/12,atoms,u89,u85,i agree because h2o has like two protrons and two nuetrons and that what makes it a water atom. electrons can travel from atom to atom.that is why helium floats because it has less protons and nuetrons than oxygen,,1,,
444,22466,11/8/12,Lighting,"u82,u86",u79,"Lighting is created when the top of the cloud becomes positive and the bottom of the cloud becomes negitive and the electricity gets discharged through the lighting.Simone + Nora ",,1,,
451,22647,11/8/12,disagree,"u85,u97",u78,we disagree because i did research and it proved our theory,,1,,
447,22585,11/8/12,we already know well i do anyway you might disagree though but i won't get mad i promise.,u77,u93,they all do relate to each other. everything relates to atoms and therefore everything relates to each other!!!!!!!!!!!!!!! :p <3 :) :>,,1,,
445,22553,11/8/12,video games,"u93,u81",,"how do video games work? We think you might need a memory card, but where will all the wires, and batteries go? And what do they put in the very thin CD? or how is electriity involved it the making of it? and how can there be so many graphics?",1,,,
448,22606,11/8/12,charges power,u76,u84,{[My theory]: is that the two charges are equal in power.  } ,,1,,
449,22624,11/8/12,water,u78,u89,{[My theory]: is that H2O has the same kind of atoms as ground atoms there just not as compacted  } ,,1,,
450,22635,11/8/12,do atoms have colour?,u90,u87,{[I need to understand]: what the colours of atoms are or if the even have colour? } ,1,,,
443,22406,11/8/12,electricity cells,u91,u91,never mind now I know that different electricity cells have different types of acid like for example a basic electricity cell uses sulfuric acid and another (the leclanche cell) uses a jellylike acid that I don't know the name of,,1,,
442,22348,11/8/12,jhon travoltage,u80,,when you rub your foot on the carpet all of the eletrons in the carpet rush to your foot because your foot holds on to electrons beter then the carpet then if you touch some thing metal with your hand then all the electrons rush to the metal and have to pass through your hand so you feel a eleectric shock. ,,1,,
446,22576,11/8/12,lighnin dicharged ,u84,"u82,u86",I agree becausee a way to discharge electrons is through a circut and the cloud and the lightning represents the circut because the bottom of the cloud is negative so the electrons neeed to be discharged through lightning Nora and Simone's note was really well written and smart,,1,,
452,22748,11/8/12,are they right????????????,u77,u90,i don't think that its possible to see if atoms have color. but if it was possible i'd like to know if they actually the books have the right color.,,1,,
552,25920,11/20/12,Different charges,u125,,"Different Charges- There are only 2 electric charges- But there are things smaller than protons, neutrons and electrons,those things have different charges- charges can flow from 1 thing to another when the charges are unbalanced",,1,,1
554,25942,11/20/12,Empty Space,u77,,"What is empty space made of?- empty space is not a true vacuum- four things that are in empty space:   radiation, space, dust, neutrons, gravitational field- atoms are not like solar systems, they are more like stair cases- empty space isn't empty space at allProbably not true theories:- there is probably a lot more going on in the empty space than wethink such as...- if there are things smaller than a neutron than there might be aforce or particle that is swirling around and doing lots of stuff inthat space- what if empty space is just as important as atoms in the creation ofsolid forms- if we weren't 99.99% empty space and we were totally solid thanwould we be so solid that we would be super heavy?",1,,,1
555,25960,11/20/12,Light,"u81,u90,u93",,"- How clouds and light make a rainbowSupplies: 1. candle or lighter2. matches3. wood splints4. 2 liter bottle with cap5. water- electricity and magnetism are directly related- light is made out of streams of particles- light is made of electro-magnetic radiation- what is light made of?- what do light and heat have to do with each other?- what about energy?",1,,1,
556,25973,11/20/12,Nuclear bombs,"u78,u78",,"Nuclear bomb- to make a nuclear bomb take some uranium 238 and extract uranium 235, then add a neutron and it makes it uranium 236 which is very explosive",,,,1
557,26003,11/21/12,Why does magnetic power flow through coins?,u88,,"{[The evidence shows that]:  Magnets can make other metals magnets. The top magnet makes the next one a magnet, and that one makes the next one maget, etc ... } ",,1,,
558,26023,11/21/12,Can atoms be created and destroyed?,u94,,{[I need to understand]:  Can atoms be created and destroyed? } {[Important information + source]:  They just get smaller. Sometimes when they get smaller they get sticked to other atoms and become bigger again. I also figured out they can be created but it needs too much energy to do. But other people were siaagreeing so that it's still being researched. } ,,1,,
559,26028,11/21/12,Floaty things,u83,,"When Ben did the floty thing, it went straight up the middle but when I did it, it stuck to the side.",,,1,
560,26044,11/21/12,quark,u80,,{[Important information + source]:  Electrons protons are made of things called quark. } ,,,,1
561,26049,11/21/12,Metals' magnetic power,"u79,u92",,"{[I need to understand]:  Why is some metal magnetic and some not?}We experimented with some metals, and here are our findings:- The 1996/1986 nickels/zinc aren't magnetic. (Maybe because they couldn't get the right material.)- The copper is not magnet.- A table showing magnet power of metals (below).Metal	PowerGS	3A	1C	1N	6I	5Z	4(6 = a ton, 1 = none)",1,,1,
562,26066,11/21/12,Atomic bombs,"u96,u87",,"An atomic bomb works by making a chain reaction.A chain reaction is a combination of continous nuclear fission reaction because the nuclear resulting: U235 + neutron = Huge energy.Fun facts: Did you know another name for a chain reaction is a nuclear fission?",,,,1
563,26072,11/21/12,Why does a magnet throw off a compass?,"u98,u98",,"{[My theory]:  A magnet throws off a compass because all magnets have a magnetic field and compasses are very sensitive to magnetic fields.}[picture: the magnet makes the needle of the compass point to the magnet.]",1,1,,
564,26088,11/21/12,Our problems and plans,,,"Our problems:1. Why are there protons and neutrons in the nucleus? Do they need to be there?2. Are there other types of charges that we do not know about?3. What is light? Where does it come from? Why does a static shock create light?4. Do atoms contain energy? How dod they do it? How does an atomic bomb work?5. Can atoms and their electrons be created or destroyed? How can we do this?6. How do magnets work? Why do they throw compasses off?7. What are electrons made out of? Is there something smaller?What we need to do ...1. Invite a scientist to come and speak about atoms.2. We should dissect a battery and try to use the insides to power different objects.3. We should cut a magnet open to see if it still works.4. We should look deeper into how light works. What is it? How does it function?5. Experiment with different types of metals. Which one is more magnetic.6. What is the connection between magnets and electricity?",1,,1,
565,26093,11/21/12,"Quarks, and other particles","u95,u89,u82",,"We tried to make fire with a flashlight through a magnifing glasses but it didn't work because you need solar power.- Atoms can be divided into smaller particles.- Protons and neutrons can be seperated from each other. Also they are made of smaller particles which is called quarks.- You can make atoms smaller by exploding them.- Only electrons cannot be splitted.- Neutrons are made of two down quarks and one up quarks.- Up quarks have a charge of +2/3.- A proton is two thousands times heavier than an electron. Neutrons are 1,839 times heavier than one electron.- Down quarks are the second lightest, the first lightest is up quarks.- Down quarks are fermions, which mean no two of them can not be in the same space at the same time.- Up quarks are so small that scientists believe they can not be divided any more.",,1,,1
