Scientificness,Complexity_level,Complexity_type,Subject,text
E-BS,L-EE,explanation,prism&rainbow,When you shine a light through a glass prism it ell make a rainbow on the surface it needs to be white light of the colors light wail be to strong and wont split up into the rainbow
E-H,L-E,explanation,rainbow,If you shine a light through a stem of water you will see a rainbow in the water 
E-BS,L-E,explanation,objects,Wen you see a red rose the blue and green are being absorbed and the red will be reflected and you see a red rose 
E-BS,L-E,explanation,objects,Wen you look at a yellow rose the to colors that are reflected are red and green they make yellow The blue is absorbed and you cant see it 
E-H,L-EE,explanation,objects,This is how absorbing and reflecting works the colors that make the object will be reflected and the leftover color will be wasted not used 
E-BS,L-EF,fact,postimage,Eye cones are in are eyes and some are sensitive to red blue and green and if the red con is not working then you cant see any thing to do with red or red 
E-BS,L-E,explanation,northern,Other Lights our when the sun boards the earth with tiny particles of belletristic they hit the earths attester the air and electricity makes it glow 
E-BS,L-F,fact,materials,An transparent object Is a objectt that you can sealy see through like glass 
E-BS,L-F,fact,materials,An translucent object is a object or material that you can see the couplers through it but you cant see crustal clear like rice paper 
E-BS,L-EF,fact,materials,An Opaque object is a object is an object that you cant see through like metal opaque objects are uselessly the strongest material 
E-BS,L-EF,fact,lens,A convex lens is a lens that consent rats the light beam so when you look at the sore it will be a dot 
E-BS,L-EF,fact,lens,Thats the ope sit of a concave lens it makes the light sored out you so if your flash light wont sored out then you can holed up a concave lens to the sore of light and it will sored out and cover a larger area but with less power 
E-BS,L-EF,fact,reflection,The angle of incidents equals the angle of reflection that mens if you shine a light sore on a flare mirror then the angle you shewn the light on the mirror is the angle it will reflect 
E-BS,L-F,fact,diffused,If you shin a light on a crumpled up puce of tin fowl then the light will be every where thats called defuse reflection 
E-BS,L-EF,fact,reflection,A concave mirror is a spoon like mirror If you walk away from it you MIG is upside down but if you walk closer then its right side up 
E-BS,L-F,fact,reflection,If you look into a convex then you look bait stretched outland the sides are rill bleary 
E-H,L-F,fact,sunpanel,A soler panel takes light and converts it to energy 
E-BS,L-F,fact,bio,Photoluminescence is an living thing that pro douses its on light 
E-BS,L-F,fact,glow,Chemiluminescence is a chemical that makes light  like the Halloween glow skits 
E-BS,L-F,fact,glow,Florescence thing arch thing that glow like those bedroom star 
E-H,L-F,fact,laser,A laser is a hilly intense tool its all the tools 
E-S,L-EE,explanation,shadow,A shadow is mad by an object in front of a light stream The light cant go around and then no light git be hind the objects and its dark 
E-BS,L-F,fact,shadow,An umbra is the dark shadow 
E-BS,L-F,fact,shadow,A penumbra is the light shadow 
E-BS,L-EE,explanation,eclipse,A solar eclipse is an eclipse of the sun It occurs when the moon is located between the sun and the earth The moon blocks the sunlight coming to the earth 
E-BS,L-E,explanation,eclipse,A liner elicits is when the sun is behind the earth and the moons in front of the earth 
E-BS,L-EE,explanation,travel,My theory is that light travels in waves I leaned this by doing an ensnarement the end resale was a wave pattern Like doping to pebbles in a pond and the reason is like light 
E-BS,L-E,explanation,travel,Light travels in inviable waves so it acts like a straight line but is actually waves 
E-BS,L-F,fact,refraction,Water bends light 
E-H,L-E,explanation,travel,Light wave length is shorter then ultra violet waves which are inviable to our eyes so some people still think that light travels in a straight line It was proved by many people a long time ago 
E-BS,L-EF,fact,lens,Most lenses focuses light so if a weak but large source of light is being produced and you put a lens under it then it will make the weak light focus and become strong 
E-BS,L-F,fact,lens,Some lenses make light spread out 
E-H,L-F,fact,lens,there are many types of lenses there are glasses magnifying glasses and many many more 
E-H,L-EE,explanation,glow,Most glowing things are painted with a layer of fluorescent paint this paint absorbs light and when it is dark the absorbed light would unleash the light that it saved until its empty and has no more light 
E-S,L-F,fact,pri&sec,There are primary colors and secondary colors The primary colors of light are red blue and green 
E-S,L-F,fact,pri&sec,Red and green make yellow light 
E-S,L-F,fact,pri&sec,green and blue light make cyan 
E-S,L-F,fact,pri&sec,and red and blue make magenta 
E-S,L-F,fact,pri&sec,and all three make  WHITE 
E-S,L-F,fact,pri&sec,and the secondary colors are magenta cyan and yellow 
E-BS,L-F,fact,rainbow,Rainbows are light colors you can see 
E-BS,L-EF,fact,prism&rainbow,you make a rainbow with a prism if you put a source of light in front of a glass prism you usably don't see a perfect rainbow mane not even a rainbow but sometimes you can see a small rainbow
E-H,L-EE,explanation,rainbow,but that doesn't explain why sometimes there are rainbows after rain storms or when it rains the answer to this is raindrops act as prisms but when I did a experiment at my house i filled a glass of water and turned out the lights I didn't see even a tiny outline of a rainbow 
E-H,L-EF,fact,reflection,When light hits a flat mirror at a 20 degree angle it goes out of the flat mirror at a 20 degree angle this means the angle of reflection equals the angle of incidence so light if it goes in at any number angle it will come out at the same angle but this only works with a flat mirror 
E-BS,L-F,fact,diffused,If you use it with aluminum foil thats all crumpled up then light will go out at all sides this is called a diffuse reflection 
E-BS,L-EF,fact,reflection,There are many types of mirrors there are flat mirrors which in the last paragraph is the only type of mirror that will make light go out at the same angle that it came in a flat mirror is the most comment mirror 
E-BS,L-EF,fact,reflection,but there are two more basic ones One is the concave mirror This mirror looks like a cave It goes in and bounces light inside it 
E-BS,L-F,fact,reflection,Unlike convex mirrors convex mirrors can bounce off many sides Those are the basic mirrors 
E-H,L-EF,fact,diffused,If a shiny thing like tin foil is there but bent the law of reflection doesn't work The light goes all over the place 
E-BS,L-EF,fact,reflection,Convex mirrors make your vision all you can see in the area bigger so if you look in a convex mirror you will see a lot more behind you thees are used in places like cars 
E-H,L-E,explanation,shadow,A shadow is made by an opaque object nontransparent object and when you shine the light through the opaque object you can see a black spot that black spot is a shadow 
E-BS,L-EF,fact,shadow,there are two parts of a shadow a umbra dark part which is in the middle and penumbra light part is on the outside part 
E-BS,L-EE,explanation,eclipse,There are two types of eclipses The rift one is called a solar eclipse Its when the moon goes in front of the earth and behind the sun which casts a shadow upon earth As I said before an opaque object like the moon and the sun is the light source it makes a shadow 
E-BS,L-EE,explanation,eclipse,a lunar eclipse is the opiate of a solar eclipse a lunar eclipse is when the earth goes in front of the moon the earth is also opaque but the shadow this time is bigger 
E-BS,L-EF,fact,see,Your eyes cant fully adjust to the dark but they can a bit my eyes have never fully adjusted to the dark but I have had light near and it was dark because I was near a lot of light then it suddenly changes my body wont react too fast but it can wait a few seconds and it will think I have Benn there long enough but with no light I don't think your eyes can adjust to a perfectly dark room 
E-BS,L-EF,fact,laser,Lasers are a very very strong source of light they are so hot that they can cut through metal bars with ease diamond sellers cut Simmonds which is one of the hardest substances on earth  
E-BS,L-F,fact,materials,Opaque transparent and translucent are some terms in light Opaque means that its non see through 
E-BS,L-F,fact,materials,Translucent means that some light can go through but not all so part see through 
E-BS,L-EF,fact,materials,Transparent means full SE through so nontransparent means opaque non SEe through 
E-BS,L-EE,explanation,objects,If light hits a red rose red gets reflected and blue and green get absorbed thats why we see red 
E-BS,L-EE,explanation,objects,but with a yellow rose green and red get reflected and blue gets absorbed because red and green make yellow 
E-BS,L-EF,fact,northern,Aura Borealis commonly none as the northern lights are a form of colored light is usual found in the north pole but it can go south like to France or Italy The natives feared them because they thought they were evil things 
E-H,L-E,explanation,sunpanel,Solar panels are usably used in places where they want to absorb light what a solar panel is basically is a thing that absorbs light stead of reflecting light so it can give off light later on 
E-BS,L-EF,fact,bio,Photoluminescence is when an animal makes it one light FACT over 70 of the worlds deep sea fish are photoluminescence fireflies are also photoluminescence 
E-BS,L-E,explanation,postimage,You have three eye cones in your eyes to SEe different couplers like I said before the easy way to SE many couplers is you need blue red and green so they are blue red and green 
E-H,L-E,explanation,glow,glowing things is that it needs to absorb light to work 
E-H,L-F,fact,glow,To see a white shrift glow you need purple light 
E-BS,L-EF,fact,bio,photoluminescence is when creatures in small dark places can make them selfs viable for example fire flies have photoluminescence and their is this kind of fish that has a little light on its head 
E-BS,L-F,fact,glow,chemiluminescence is the chemical that make things glow 
E-BS,L-F,fact,glow,Fluorescence is the process of demitting light while receiving energy from another source 
E-BS,L-F,fact,laser,Lasers are very highly bright and intense light  They can burn though anything 
E-H,L-E,explanation,shadow,A shadow is a reflection of light hitting an object To see a shadow you need a source of light like the sun or a flash light 
E-BS,L-F,fact,shadow,here is a example of umbra and penumbra when you put an easer under a flash light the black shadow is the umbra and the gray shadow is the penumbra 
E-BS,L-EE,explanation,eclipse,A lunar eclipse is when the moon over laps the sun and blackens out the sky so no one ca see the sun and the sun and the moon turn black 
E-H,L-E,explanation,eclipse,A solar eclipse is when the sun over laps the moon band then the sun and the moon go red 
E-H,L-E,explanation,shadow,This is how a shadow is made  a shadow is made when light hits an object 
E-S,L-F,fact,pri&sec,the primary colors of light are  Green Red and Blue 
E-BS,L-EF,fact,postimage,those are the colors of your eye cones What I mean by your eye cones is you have eye cones is that you have cones in your eyes that are shaped like ice cream cones by mixing them you get the Secondary colors 
E-S,L-EF,fact,pri&sec,The Secondary colors of light are made by mixing the Primary colors of light here are the Secondary colors of light  Yellow Magenta and Cyan here is how their made  
E-S,L-F,fact,pri&sec,Yellow is made by mixing Green and Red  
E-S,L-F,fact,pri&sec,Magenta is made by Blue and Red 
E-S,L-F,fact,pri&sec,and Cyan is made by blue and Green 
E-S,L-F,fact,pri&sec,This is how we see white we mix  Red Blue and Green all together make white 
E-H,L-EE,explanation,object,What is absorbing My understanding is that when white light hits a red object all the colors that make white  Red Green and Blue blue and green are reflected and red is absorbed 
E-H,L-EE,explanation,object,What is Reflecting My understanding is like before we have a red dress when white light hits the red dress blue and green are reflected and red is absorbed Why I think there reflected is because its not the same color 
E-BS,L-EE,explanation,object,this is how we can see a red rose white light hits the rose red is reflected and blue and green are absorbed and the rose papers upside down and back wards but your brain turns it to the right way 
E-H,L-EE,explanation,object,this is how we see a yellow rose the white light hits the rose green and red are reflected and blue is absorbed why green and red are reflected incited of just one color is because yellow is a secondary color and are brain sees the rose upside down and backwards 
E-BS,L-E,explanation,prism&rainbow,This is why how you make a rainbow with a prism you get a prism and shine a light though the prism and then you will see a prism rainbow
E-BS,L-EF,fact,northern,the Northern lights are branches of colored light in the sky you can only see them in the north pole but some times you can see them in muskox in the winter 
E-BS,L-E,explanation,rainbow,how we make a rainbow with rain  After it rains you see a rainbow its made by the sun light shining though the water and it makes a rainbow 
E-BS,L-EF,fact,materials,A transparent object is something you can see though like Stephanie light can go right though it 
E-BS,L-EF,fact,materials,A translucent object is some thing that you can kind of see though like paper paper is sort of dark sort of light  
E-BS,L-F,fact,materials,An opaque object is something that you cant see though at all like a base ball or a baseball bat 
E-BS,L-F,fact,reflection,A concave mirror is a mirror that has cave the image looks like your head is bent 
E-BS,L-F,fact,reflection,A convex mirror is something that looks like somebodies belly The image looks like your head is bent out ward 
E-BS,L-F,fact,reflection,The law of relation is when the angle of incandescence  the angle of reflection 
E-BS,L-F,fact,infused,When light hits a bumpy surface its rays are reflected every where  
E-H,L-F,fact,lens,A double concave lens is a magnifying glass lens when light gos though it it soots out every where 
E-BS,L-F,fact,camera,On a camera there is a convex lens to help focus the light when the light gos though the lens it gets concertinaed  
E-BS,L-E,explanation,sunpanel,Solar panel absorb light and change it to solar energy 
E-BS,L-E,explanation,travel,My theory about how light travels is that light travels in ripple waves 
E-BS,L-E,explanation,see,My theory about all we see is light is that every thing we see is light 
E-BS,L-F,fact,shadow,My understanding of shadows are that shadows are always on the other side of the light source 
E-H,L-F,fact,shadowsize,The closer you get to the light the bigger your shadow gets 
E-BS,L-EF,fact,shadow,When you have two light sources facing on one thing and there turned on you see two shadows And the same thing happens when you have three light sources are there but three shadows appear 
E-BS,L-E,explanation,shadow,the way a shadow is made is that you are covering part of where the light hits 
E-BS,L-F,fact,shadow,and the complete black area is called umbra 
E-BS,L-F,fact,shadow,and where its Grey is called penumbra 
E-BS,L-EE,explanation,eclipse,New information A lunar eclipse is when the earth is between the sun and the moon Since the earth is in front of the moon it castes a shadow over the moon making it in total darkness 
E-BS,L-EE,explanation,eclipse,A solar eclipse is when the moon casts a show over the earth and its just like a lunar eclipse precept what I just told you 
E-BS,L-EF,fact,prism&rainbow,If you add light to a prism it should change the white light into the colors of the rainbow Red Orange Yellow Green Blue Violet and Indigo
E-BS,L-E,explanation,rainbow,My understanding of rainbows is that the reason that there always in the same order is that Red has the longest light wave and violet the shortest 
E-S,L-F,fact,pri&sec,My understanding of the primary colors of light are Red Green and Blue 
E-S,L-F,fact,pri&sec,but the primary colors of pigment are Yellow Blue and Red 
E-S,L-F,fact,pri&sec,Blue and Green makes cyan 
E-S,L-F,fact,pri&sec,Red and Blue makes magenta 
E-S,L-F,fact,pri&sec,and Red and Green makes yellow 
E-BS,L-F,fact,pri&sec,Of course if you were in pigment yellow would be green 
E-BS,L-EE,explanation,objects,The way we see a red rose is that white light contains the primary coleus of light red blue and green What happens is that the red light hitting a red rose the red light bounces off and into our eyes and the other colors get absorbed 
E-H,L-EE,explanation,objects,With a yellow ors its pretty much the same thing but 2 colors don't get absorbed they mix and bounce off as one ray 
E-BS,L-E,explanation,objects,Anything that isn't the same color gets absorbed the same color is always reflected 
E-S,L-F,fact,postimage,Every person has eye cones that are sensitive to a servant color Each eye con is sensitive to either red blue or green 
E-H,L-F,fact,postimage?,Try clewing one eye then switching one eye looks more red the other more blue since we don't have a third eye we see blue and red and not green because in pigment its replaced with yellow 
E-BS,L-F,fact,Northern,The northern light are the color red eerie green and pink 
E-BS,L-EE,explanation,northern,The northern lights are cosed by partials from the sun The particles are so small you couldn't see them How they acute is when the particles hit highest thing of the earths atmosphere they electrify the air making it glow 
E-BS,L-E,explanation,rainbow,Rainbows are sometimes made when leftover raindrops The raindrops acts as prisms 
E-BS,L-EF,fact,bio,My understanding of natural and artificial light is that living things make there own light like fireflies squids bacteria and fungi 70 present of the worlds deep sea fish make their own light 
E-BS,L-F,fact,glow,chemiluminescence is when chemicals make things glow like luminescent paint 
E-BS,L-E,explanation,glow,other things make things glow in the dark like electricity heat and friction 
E-BS,L-F,fact,glow,Fluorescence is when something is giving off light while getting energy from another source 
E-BS,L-EF,fact,laser,Lasers can burn through the hardest substance like diamonds the hardest things on earth Laser can burn thousands of holes in 1 day 
E-BS,L-F,fact,materials,My understanding of transparent objects is that if you look at it you should see through it roughly A transparent object is usually like a window some toys and glass 
E-S,L-EF,fact,reflection,The law of reflection is that if you shine light at a 90 degree angle it will be reflected as a 90 degree angle the light ray that egos to the flat mirror is called the incident ray and the ray that bounces off is called reflected ray 
E-BS,L-EE,explanation,diffused,Diffused reflection is when a ray of light comes and hits something like bumpy tinfoil The light comes and egos everywhere because it has more than one thing to bounce off of it It egos up down right left because when its bumpy it goes like that because of different bumps 
E-PS,L-F,fact,materials,Opaque is a thing that you can see and see through but its fuzzy An opaque object is like plastic 
E-PS,L-F,fact,reflection,a concave mirror when light is shown into it reflects the light all around and then up 
E-BS,L-EF,fact,reflection,its used in things like flashlights if we didn't use concave mirrors in flashlights it would be like a candle 
E-BS,L-EF,fact,lens,Convex lens with light rays will concentrate light making a focus point that is the most concentrated and after that it starts to get less concentrated 
E-BS,L-F,fact,sunpanel,Solar panels can make lots of things do stuff 
E-PS,L-E,explanation,reflection,If you looked into a concave mirror you would see behind you and a lot of light because the light goes in then bounces until it shoots out the way it came 
E-BS,L-EE,explanation,reflection,Convex mirrors are used in stores They let you see around corners and stuff ltd shaped like a ball with the top cut off the way it lets you see around corners is it does everything but catch light so it bounces off as an angle 
E-BS,L-F,fact,materials,Translucent object let some light but not all light through So translucent would be like frosted glass or clouds 
E-BS,L-EE,explanation,object,All we see is light the way I can prove it is that the same color light bounces off things that are supposed to be that color Then the color bounces into your eye Three primary colors are in white light so if you mix those you'll get any color 
E-BS,L-E,explanation,eclipse,I learned that a solar eclipse occurs when the moon blocks the sun which casts a huge shadow over the earth 
E-BS,L-EF,fact,materials,I also learned that light can not go through an opaque object because it isn't transparent 
E-BS,L-EF,fact,sundial,Another one of the things I learned was that in ancient times people used sundials to tell the time They could tell that the higher the sun was in the sky the shorter the shadow 
E-S,L-EE,explanation,eclipse,I just learned that a lunar eclipse occurs when the earth is between the sun and the moon The earth is in front of the moon and behind the sun which makes a huge shadow over the moon 
E-BS,L-F,fact,shadow,An umbra is a small light source that makes a dark shadow 
E-BS,L-F,fact,shadow,A penumbra is a lighter shadow 
E-H,L-E,explanation,shadow,A shadow is made by light hitting you and the light is big so it gets around the person and makes a shadow 
E-H,L-F,fact,shadowsize,Also the farther you walk away the longer your shadow will get 
E-BS,L-F,fact,lens,When light hits a double concave lens unlike the double convex the light will go further apart 
E-BS,L-EF,fact,lens,When light hits a double convex lens it travels together and hits and the light is concentrated at the focal point 
E-H,L-F,fact,lens,I learned that a magnifying glass can focus the light more than it can when the light is just by itself 
E-BS,L-E,explanation,electric,I also learned that there are things called atoms and electrons that can pass through wires and make electricity 
E-S,L-F,fact,bio,Another thing I learned was that 70 of the worlds sea fish use photoluminescence to make themselves glow 
E-BS,L-F,fact,bio,Photoluminescence is when a animal gives of its own light 
E-BS,L-F,fact,glow,Fluorescence is when something gives of light while receiving it from somewhere else 
E-BS,L-EF,fact,laser,Lasers are very bright and they can burn through anything in the world It can burn through steel and chrome and cloth and iron and metal and everything 
E-S,L-F,fact,pri&sec,The primary colors of light are  red blue and green 
E-S,L-F,fact,pri&sec,And blue green and red make the color white 
E-S,L-F,fact,pri&sec,The secondary colors of light are yellow magenta and cyan 
E-BS,L-E,explanation,northern,The northern lights happen when the sun makes tiny bits of electricity go down to earth 
E-S,L-F,fact,rainbow,Red has the longest light wave and violet has the shortest light wave 
E-S,L-F,fact,rainbow,The colors of the rainbow are red antidisestablishmentarianism and violet 
E-BS,L-F,fact,postimage,There are three kinds cones in your eyes red blue and green 
E-BS,L-E,explanation,objects,If you look at a yellow flower the color that would absorb is blue and the colors that would bounce into your eyes are red and green 
E-BS,L-E,explanation,objects,If you look at a red rose blue and green are absorbed into your eyes and red is reflected 
E-H,L-F,fact,rainbow,A spectrum is another name for a rainbow 
E-BS,L-EF,fact,prism&rainbow,When white light goes through a prism it will make a rainbow All the colors that come out of the prism will be rainbow colors
E-BS,L-F,fact,northern,The northern lights are originally located in the north pole And some Eskimo called Inuits thought the northern lights were evil 
E-BS,L-F,fact,materials,A transparent object is something see through like a ghost or glass 
E-BS,L-F,fact,materials,Translucent means that only a little light can get through for example frosty glass and tracing paper 
E-BS,L-F,fact,materials,Opaque means that no light can get through for instance a cow is opaque and a chair is opaque 
E-BS,L-F,fact,reflection,A concave mirror is pushed in 
E-BS,L-F,fact,reflection,and a convex mirror is pushed out 
E-BS,L-F,fact,lens,Some television screens in the 50s were convex screens 
E-S,L-F,fact,reflection,If light comes in on a 45 degree angle on a flat mirror it will come out on a 45 degree angle 
E-BS,L-F,fact,diffused,On the other hand if light goes in on a 45 degree angle on a bumpy mirror it will come out all crazy 
E-S,L-EE,explanation,rainbow,This is how rainbows are made with rain The sky is still moist and there are drops in the air which can be used like prisms so if the left over raindrops can be used like prisms then the light can shine through it to make a rainbow 
E-S,L-EE,explanation,sunpanel,Here is how solar panels work Dull dark surfaces do not reflect much light The dark surfaces absorb the suns rays and turn the rays into thermal energy The thermal energy is turned into heated water and then it is pumped into a storage tank and goes out through a fan That means that black attracts heat 
E-BS,L-EF,fact,glow,Chemiluminescence turns chemical energy into light I used to have glowing stars and a moon on the top of my closet so that is an example of chemiluminescence 
E-BS,L-EE,explanation,travel,I think light travels in a straight line because the shadows prove that they travel straight or else the shadows would be wobbly 
E-BS,L-F,fact,rainbow,The colors of light is the rainbow 
E-PS,L-E,explanation,rainbow,When you see a rainbow  you only see half of it A rainbow is actual a circle but the clouds are blocking the half of the rainbow that you don't see 
E-BS,L-EF,fact,rainbow,Making a rainbow with rain is when its raining lightly and the sun is out An example is when you turn on a sprinkler and the sun is shining 
E-H,L-EE,explanation,electric,this is my picture of a light bulb a light bulb is made out of glass and artificial light The glass is to couscous the light to the spot you would like it and the artificial light is from the energy in the air that comes from your wall When you plug in a light a computer or anything that has a plug the energy goad through whores that travel over our hes and under us These 2 things are all plugd into a wall 
E-BS,L-EE,explanation,prism,The picture I drew was making a rainbow out of a prism This picture is with two prisms this is how it works If you shine a light on a prism a rainbow will appear but if you put another prism in front of the other prism the light will turn white again This is How to make white light through a viable spectrum 
E-H,L-E,explanation,objects,If you look at a red rose in green light the rose doesn't absorb the green light so the rose appears black 
E-BS,L-EE,explanation,objects,If you look at a red rose in magenta light the magenta light red and blue hits the red surface The color red is reflected But the color blue is absorbed then the rose appears red 
E-S,L-F,fact,pri&sec,the primary colors are red green and blue 
E-S,L-EF,fact,reflection,when light hits a flat mirror the angle of incidence equals the angle of reflection When an incident ray hits a 40 degree angle it will come out a 40 degree angle 
E-BS,L-F,fact,diffused,Diffused reflection is when a light goad to wards a bumpy mirror and bounces in all directions 
E-BS,L-F,fact,materials,A transparent object is see through A prism is transparent and a peace of glass is transparent 
E-BS,L-F,fact,materials,An opaque object is not see through a brick book computer pencil and a tooth are all not see through 
